Domain,Tone_F1,Tone_DeltaAbs,Tone_LenAbs,Form_F1,Form_DeltaAbs,Form_LenAbs,Emo_F1,Emo_DeltaAbs,Emo_LenAbs
Public Health,0.8308571428571428,0.0642857142857143,3.4994419381417186,0.8079999999999999,0.0942857142857143,8.446956902967441,0.833,0.07714285714285715,4.107906775473221
Historical Events,0.8380000000000001,0.07285714285714286,2.809557041523192,0.8395714285714285,0.030000000000000002,4.302393218732653,0.8245714285714285,0.13857142857142857,1.384341574530757
Political Systems,0.8135714285714286,0.16857142857142854,6.707715002926073,0.8160000000000001,0.04,4.481154802945915,0.8087142857142856,0.03571428571428571,7.585534287817745
Scientific Consensus,0.8298571428571427,0.05428571428571428,3.559849092620703,0.8341428571428572,0.027142857142857135,4.043562614386098,0.8108571428571428,0.07428571428571429,4.129212998169028
Environmental Policy,0.8049999999999999,0.05285714285714287,2.1891468262476246,0.8122857142857143,0.041428571428571426,3.9092281386347696,0.8019999999999999,0.06857142857142859,4.023926584396443
