Model,Tone_F1,Tone_DeltaAbs,Tone_LenAbs,Form_F1,Form_DeltaAbs,Form_LenAbs,Emo_F1,Emo_DeltaAbs,Emo_LenAbs
OpenAI GPT-3.5 Turbo,0.8297999999999999,0.08199999999999999,3.1501695899461795,0.8276,0.06200000000000001,2.228633802004333,0.8214,0.068,2.542885085970707
Mistral-7B-Instruct-v0.3,0.8272,0.10200000000000001,9.010620513310474,0.828,0.046000000000000006,16.749019998942742,0.8166,0.07200000000000001,14.563132216910272
OpenAI GPT-4o,0.8273999999999999,0.06200000000000001,1.3832542265379373,0.8242,0.046,3.3149694856668446,0.8181999999999998,0.06200000000000001,1.1851032404712611
OpenAI GPT-4o Mini,0.8251999999999999,0.068,1.9426376659287796,0.8230000000000001,0.029999999999999992,1.3789983344910808,0.8182,0.06400000000000002,1.7791752913855816
LLaMA-3.1-8B-Instruct,0.8219999999999998,0.06999999999999999,1.6870037215046352,0.8224,0.034,6.402692625235562,0.8151999999999999,0.094,2.0557937156762676
Gemini-1.5-Pro,0.8182,0.10800000000000001,6.064154270463962,0.8166,0.06400000000000002,2.9511034629681374,0.8088,0.09400000000000001,3.102339189364861
Gemini-2.0-Flash,0.8144,0.086,3.0341538743510683,0.8122,0.044000000000000004,2.2311962394249263,0.8124,0.098,4.49486236876312
